feature,included_feature_sets,mimic_missing_rate,eicu_missing_rate,clinical_reason,transportability_reason,model_importance_reason,final_decision,display_model_name,display_feature_set_name,legacy_model_id,legacy_feature_set_id,manuscript_role,naming_note
hours_from_anchor,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,captures ICU/sepsis timing without changing the existing dual-anchor label framework,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 1 in MT3_full_transport_set; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
hours_since_icu_admission,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,captures ICU/sepsis timing without changing the existing dual-anchor label framework,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 11 in P25_clinical_core_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
hr_latest_value,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0738318830224309,0.010531151644969311,bedside hemodynamic or perfusion marker familiar to ICU clinicians,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 4 in MT3_full_transport_set; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
hr_slope_6h,F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.005795927220761987,0.0032966917992651398,bedside hemodynamic or perfusion marker familiar to ICU clinicians,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 14 in MT3_full_transport_set; used as auxiliary only,retain in clinical core candidate,,,,,,
is_sepsis_on_admission,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,captures ICU/sepsis timing without changing the existing dual-anchor label framework,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 9 in P15_minimal_bedside_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
lactate_gt2_burden_24h,F40_balanced_transport_set,0.0,0.0,routine laboratory or organ-function marker with direct clinical interpretation,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 32 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
lactate_latest_value,F40_balanced_transport_set,0.5747218465307372,0.8294118933911127,routine laboratory or organ-function marker with direct clinical interpretation,high external missingness; only retained if needed for balanced transport comparison,regularized death-class coefficient rank 6 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
lactate_slope_6h,F40_balanced_transport_set,0.5463227600990124,0.8074165102814743,routine laboratory or organ-function marker with direct clinical interpretation,high external missingness; only retained if needed for balanced transport comparison,regularized death-class coefficient rank 29 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
low_spo2_burden_24h,F40_balanced_transport_set,0.0,0.0,respiratory status/support marker relevant to acute deterioration,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 9 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
map_below_65_burden_24h,F40_balanced_transport_set,0.0,0.0,bedside hemodynamic or perfusion marker familiar to ICU clinicians,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 2 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
map_deficit,F40_balanced_transport_set,0.10089442927501467,0.688134477632241,bedside hemodynamic or perfusion marker familiar to ICU clinicians,high external missingness; only retained if needed for balanced transport comparison,regularized death-class coefficient rank 24 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
map_latest_value,F40_balanced_transport_set,0.10089442927501467,0.688134477632241,bedside hemodynamic or perfusion marker familiar to ICU clinicians,high external missingness; only retained if needed for balanced transport comparison,regularized death-class coefficient rank 23 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
oliguria_burden_24h,F40_balanced_transport_set,0.0,0.0,renal function or urine-output marker linked to organ dysfunction,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 11 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
platelet_hours_since_last_real_measurement,F25_clinical_core_set;F40_balanced_transport_set,0.0021627070201852656,0.00454935859084973,routine laboratory or organ-function marker with direct clinical interpretation,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 18 in P25_clinical_core_model; used as auxiliary only,retain in clinical core candidate,,,,,,
platelet_latest_value,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.02962398244315717,0.07147619695308063,routine laboratory or organ-function marker with direct clinical interpretation,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 10 in P15_minimal_bedside_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
platelet_relative_drop_24h,F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.02962398244315717,0.07147619695308063,routine laboratory or organ-function marker with direct clinical interpretation,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 17 in P25_clinical_core_model; used as auxiliary only,retain in clinical core candidate,,,,,,
rr_latest_value,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.08141411692653176,0.05728786701377363,respiratory status/support marker relevant to acute deterioration,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 12 in P15_minimal_bedside_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
shared_support_intensity_proxy,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,"summarizes clinically interpretable circulatory, lactate, renal, and respiratory support burden without full VIS",available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 4 in P15_minimal_bedside_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
shock_index,F40_balanced_transport_set,0.14515655702146119,0.7217462764788745,bedside hemodynamic or perfusion marker familiar to ICU clinicians,high external missingness; only retained if needed for balanced transport comparison,regularized death-class coefficient rank 13 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
spo2_fio2_ratio,F40_balanced_transport_set,0.8286676704008983,0.6982984847202235,respiratory status/support marker relevant to acute deterioration,high external missingness; only retained if needed for balanced transport comparison,regularized death-class coefficient rank 7 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
spo2_latest_value,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.09380980937555822,0.03093525795709735,respiratory status/support marker relevant to acute deterioration,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 1 in P15_minimal_bedside_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
support_hemodynamic_component,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,"summarizes clinically interpretable circulatory, lactate, renal, and respiratory support burden without full VIS",available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 1 in P40_balanced_transport_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
support_lactate_component,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,"summarizes clinically interpretable circulatory, lactate, renal, and respiratory support burden without full VIS",available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 3 in P25_clinical_core_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
support_proxy_component_count,F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,"summarizes clinically interpretable circulatory, lactate, renal, and respiratory support burden without full VIS",available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 21 in MT3_full_transport_set; used as auxiliary only,retain in clinical core candidate,,,,,,
support_renal_component,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,"summarizes clinically interpretable circulatory, lactate, renal, and respiratory support burden without full VIS",available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 13 in P15_minimal_bedside_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
support_respiratory_component,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,"summarizes clinically interpretable circulatory, lactate, renal, and respiratory support burden without full VIS",available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 8 in P40_balanced_transport_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
temperature_latest_value,F40_balanced_transport_set,0.725329828769745,0.6773607823032519,bedside hemodynamic or perfusion marker familiar to ICU clinicians,high external missingness; only retained if needed for balanced transport comparison,regularized death-class coefficient rank 31 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
urine_output_latest_value,F40_balanced_transport_set,0.48847513205910126,0.7533473406273987,renal function or urine-output marker linked to organ dysfunction,high external missingness; only retained if needed for balanced transport comparison,regularized death-class coefficient rank 34 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
wbc_hours_since_last_real_measurement,F25_clinical_core_set;F40_balanced_transport_set,0.0020797713527445326,0.004467559544474427,routine laboratory or organ-function marker with direct clinical interpretation,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 19 in P25_clinical_core_model; used as auxiliary only,retain in clinical core candidate,,,,,,
wbc_latest_value,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.02928586010666803,0.07189185024687142,routine laboratory or organ-function marker with direct clinical interpretation,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 7 in P25_clinical_core_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
