original_path,action,destination_path,reason,risk_if_left_in_main_path,manuscript_needed,audit_needed,final_status
results_final/clinical_implementation/P15_Feature_Retention_Rationale_Detailed.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/P15_Feature_Retention_Rationale_Detailed.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/clinical_implementation/P15_Feature_Subset_Sensitivity.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/P15_Feature_Subset_Sensitivity.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/clinical_implementation/P15_Proxy_Contribution_Scenarios.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/P15_Proxy_Contribution_Scenarios.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/clinical_implementation/P15_Proxy_Dual_Index_Recommendation.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/P15_Proxy_Dual_Index_Recommendation.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/clinical_implementation/P15_Subset_Combination_Performance.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/P15_Subset_Combination_Performance.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/clinical_implementation/P15_Subset_Finetuning_Clinical_Implementation_Report.md,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/P15_Subset_Finetuning_Clinical_Implementation_Report.md,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/clinical_implementation/P15_Subset_Finetuning_Recommendation.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/P15_Subset_Finetuning_Recommendation.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/clinical_implementation/P15_Subset_Sensitivity_and_Clinical_Landing_Report.md,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/P15_Subset_Sensitivity_and_Clinical_Landing_Report.md,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/clinical_implementation/Table_P15_Subset_Finetuning_Recommendation.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/Table_P15_Subset_Finetuning_Recommendation.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/tables/Table_P15_Subset_Finetuning_Recommendation.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/tables/Table_P15_Subset_Finetuning_Recommendation.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/tables/Table_P15_Subset_Sensitivity_Clinical_Landing.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/tables/Table_P15_Subset_Sensitivity_Clinical_Landing.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/tables/Table_Parsimonious_Feature_Set_Comparison.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/tables/Table_Parsimonious_Feature_Set_Comparison.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
results_final/figures,move_to_archive,archive/superseded_figures/results_final/figures,old figure interfaces superseded by final tables and clinical implementation audit,could mix old simulated or pre-final figure interfaces with final manuscript-facing results,no,yes,archived
cleanup/__pycache__,delete,,temporary cache/compiled artifact,none,no,no,deleted
README.md,update_text,,rewrite final public entry point with frozen model roles and lab/proxy guardrails,outdated or ambiguous final wording,yes,yes,updated
FINAL_PROJECT_SUMMARY.md,update_text,,update final project summary with true-training and lab freshness conclusions,outdated or ambiguous final wording,yes,yes,updated
FINAL_FILE_INDEX.md,update_text,,"rewrite final file index to point to final parsimonious, true-training, and lab freshness artifacts",outdated or ambiguous final wording,yes,yes,updated
results_final/text/Honest_Reporting_Checklist_Final_Parsimonious.md,update_text,,consolidate final honest reporting guardrails,outdated or ambiguous final wording,yes,yes,updated
final_freeze/FINAL_PI_SUMMARY_PARSIMONIOUS.md,update_text,,refresh final PI summary with current frozen conclusions,outdated or ambiguous final wording,yes,yes,updated
final_freeze/Final_Model_Role_Audit_Parsimonious.md,update_text,,refresh final model role audit,outdated or ambiguous final wording,yes,yes,updated
final_freeze/Final_Clinical_Implementation_Audit.md,update_text,,refresh final clinical implementation audit,outdated or ambiguous final wording,yes,yes,updated
final_freeze/Final_Clinical_Feature_Validity_Audit.md,update_text,,refresh final clinical feature validity audit,outdated or ambiguous final wording,yes,yes,updated
results_final/text/Results_Skeleton_zh_Final_Parsimonious.md,update_text,,refresh results skeleton with final parsimonious conclusions,outdated or ambiguous final wording,yes,yes,updated
results_final/text/Discussion_Outline_zh_Final_Parsimonious.md,update_text,,refresh discussion outline with final caveats,outdated or ambiguous final wording,yes,yes,updated
results_final/text/Clinical_Implementation_Notes_zh_Final.md,update_text,,refresh clinical implementation notes,outdated or ambiguous final wording,yes,yes,updated
results_final/tables/Table_P15_P12_P10_Clinical_Implementation_Summary.csv,update_text,,update clinical implementation summary to true-training status,outdated or missing final index/table,yes,yes,updated
archive/README_archive.md,update_text,,update archive interpretation rules,outdated or ambiguous final wording,yes,yes,updated
cleanup/Final_Consistency_Risk_Term_Scan.csv,update_text,,record final-path risk expression scan,outdated or missing final index/table,yes,yes,updated
README.md,keep,,final main reading path,none if read with final index,yes,yes,kept
FINAL_PROJECT_SUMMARY.md,keep,,final main reading path,none if read with final index,yes,yes,kept
FINAL_FILE_INDEX.md,keep,,final main reading path,none if read with final index,yes,yes,kept
final_freeze/FINAL_PI_SUMMARY_PARSIMONIOUS.md,keep,,final main reading path,none if read with final index,yes,yes,kept
final_freeze/Final_Model_Role_Audit_Parsimonious.md,keep,,final main reading path,none if read with final index,yes,yes,kept
final_freeze/Final_Clinical_Implementation_Audit.md,keep,,final main reading path,none if read with final index,yes,yes,kept
final_freeze/Final_Clinical_Feature_Validity_Audit.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/text/Honest_Reporting_Checklist_Final_Parsimonious.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/text/Results_Skeleton_zh_Final_Parsimonious.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/text/Discussion_Outline_zh_Final_Parsimonious.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/text/Clinical_Implementation_Notes_zh_Final.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/clinical_implementation/P12_P10_TrueTraining_Validation_Report.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/clinical_implementation/P12_P10_TrueTraining_PI_Summary_zh.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/clinical_implementation/Lab_Freshness_Sensitivity_Report.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/clinical_implementation/Lab_Freshness_PI_Summary_zh.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/clinical_implementation/Lab_Availability_Lookahead_Audit.md,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/tables/Table2_Main_Model_Comparators_Final_Parsimonious.csv,keep,,final main reading path,none if read with final index,yes,yes,kept
results_final/tables/Table_P15_P12_P10_Clinical_Implementation_Summary.csv,keep,,final main reading path,none if read with final index,yes,yes,kept
