file_path,action,reason,final_destination,risk_level,whether_needed_for_manuscript
post_metre_selection/Downstream_Analysis_Model_Map.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_selection/Downstream_Analysis_Model_Map.csv,medium,supplementary/archive
post_metre_selection/Model_Role_Assignment.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_selection/Model_Role_Assignment.csv,medium,supplementary/archive
post_metre_selection/Model_Selection_Criteria.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_selection/Model_Selection_Criteria.md,medium,supplementary/archive
post_metre_selection/Post_METRE_Model_Comparison.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_selection/Post_METRE_Model_Comparison.csv,medium,supplementary/archive
post_metre_selection/Post_METRE_Model_Signoff_Report.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_selection/Post_METRE_Model_Signoff_Report.md,medium,supplementary/archive
post_metre_selection/run_post_metre_model_selection.py,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_selection/run_post_metre_model_selection.py,medium,supplementary/archive
README.md,keep,Required repository/data-boundary documentation retained and updated.,README.md,low,yes
recalibration/eicu_calibration_curve_data.csv,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_transport_pre_metre/recalibration/eicu_calibration_curve_data.csv,medium,archive
recalibration/eicu_recalibration_report.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_transport_pre_metre/recalibration/eicu_recalibration_report.md,medium,archive
recalibration/eicu_recalibration_results.csv,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_transport_pre_metre/recalibration/eicu_recalibration_results.csv,medium,archive
recalibration/eicu_recalibration_split_definition.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_transport_pre_metre/recalibration/eicu_recalibration_split_definition.md,medium,archive
recalibration/run_external_recalibration.py,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_transport_pre_metre/recalibration/run_external_recalibration.py,medium,archive
results_package/figures/Figure1_workflow_notes.md,move_to_archive,Old figure/table/text interface superseded by final parsimonious package.,archive/legacy_figure_interfaces/results_package/figures/Figure1_workflow_notes.md,medium,archive
results_package/figures/Figure2_main_performance_data.csv,move_to_archive,Old figure/table/text interface superseded by final parsimonious package.,archive/legacy_figure_interfaces/results_package/figures/Figure2_main_performance_data.csv,medium,archive
results_package/figures/Figure3_dual_anchor_shap.csv,move_to_archive,Old figure/table/text interface superseded by final parsimonious package.,archive/legacy_figure_interfaces/results_package/figures/Figure3_dual_anchor_shap.csv,medium,archive
results_package/figures/Figure4_phenotype_shap.csv,move_to_archive,Phenotype is no longer a default performance route; retained as stratification/explanation audit.,archive/legacy_figure_interfaces/results_package/figures/Figure4_phenotype_shap.csv,medium,supplementary/archive
results_package/figures/Figure5_dca_leadtime.csv,move_to_archive,Old figure/table/text interface superseded by final parsimonious package.,archive/legacy_figure_interfaces/results_package/figures/Figure5_dca_leadtime.csv,medium,archive
results_package/figures/Figure5_DCA_Leadtime_Post_METRE.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/legacy_figure_interfaces/results_package/figures/Figure5_DCA_Leadtime_Post_METRE.csv,medium,supplementary/archive
results_package/figures/Figure6_external_failure_modes.csv,move_to_archive,Old figure/table/text interface superseded by final parsimonious package.,archive/legacy_figure_interfaces/results_package/figures/Figure6_external_failure_modes.csv,medium,archive
results_package/figures/Figure6_External_Failure_Modes_Post_METRE.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/legacy_figure_interfaces/results_package/figures/Figure6_External_Failure_Modes_Post_METRE.csv,medium,supplementary/archive
results_package/MANUSCRIPT_READY_INDEX.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_result_indices/results_package/MANUSCRIPT_READY_INDEX.md,medium,archive
results_package/POST_METRE_RESULT_INDEX.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_result_indices/results_package/POST_METRE_RESULT_INDEX.md,medium,archive
results_package/POST_METRE_RESULT_LINEAGE.csv,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_result_indices/results_package/POST_METRE_RESULT_LINEAGE.csv,medium,archive
results_package/supplementary/Supplementary_Index.md,keep,Still useful in final manuscript-facing entry path.,results_package/supplementary/Supplementary_Index.md,low,yes
results_package/tables/Table1_Cohort_Characteristics.csv,keep,Still useful in final manuscript-facing entry path.,results_package/tables/Table1_Cohort_Characteristics.csv,low,yes
results_package/tables/Table2_Main_Model_Comparators.csv,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_pre_metre_results/results_package/tables/Table2_Main_Model_Comparators.csv,medium,archive
results_package/tables/Table2_Main_Model_Comparators_Post_METRE.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/misc_superseded/results_package/tables/Table2_Main_Model_Comparators_Post_METRE.csv,medium,supplementary/archive
results_package/tables/Table3_Phenotype_Gain.csv,move_to_archive,Phenotype is no longer a default performance route; retained as stratification/explanation audit.,archive/legacy_pre_metre_results/results_package/tables/Table3_Phenotype_Gain.csv,medium,supplementary/archive
results_package/tables/Table3_Phenotype_Gain_Post_METRE.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/legacy_pre_metre_results/results_package/tables/Table3_Phenotype_Gain_Post_METRE.csv,medium,supplementary/archive
results_package/tables/Table4_Measurement_Bias.csv,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_pre_metre_results/results_package/tables/Table4_Measurement_Bias.csv,medium,archive
results_package/tables/Table4_Measurement_Bias_Post_METRE.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/legacy_pre_metre_results/results_package/tables/Table4_Measurement_Bias_Post_METRE.csv,medium,supplementary/archive
results_package/text/Discussion_Outline_en.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_text_and_skeletons/results_package/text/Discussion_Outline_en.md,medium,archive
results_package/text/Discussion_Outline_zh.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_text_and_skeletons/results_package/text/Discussion_Outline_zh.md,medium,archive
results_package/text/Discussion_Outline_zh_Post_METRE.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/legacy_text_and_skeletons/results_package/text/Discussion_Outline_zh_Post_METRE.md,medium,supplementary/archive
results_package/text/Honest_Reporting_Checklist.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_text_and_skeletons/results_package/text/Honest_Reporting_Checklist.md,medium,archive
results_package/text/Honest_Reporting_Checklist_Post_METRE.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/legacy_text_and_skeletons/results_package/text/Honest_Reporting_Checklist_Post_METRE.md,medium,supplementary/archive
results_package/text/PI_Decision_Summary.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_text_and_skeletons/results_package/text/PI_Decision_Summary.md,medium,archive
results_package/text/PI_Decision_Summary_Post_METRE.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/legacy_text_and_skeletons/results_package/text/PI_Decision_Summary_Post_METRE.md,medium,supplementary/archive
results_package/text/Post_METRE_Final_Project_Assessment.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/legacy_text_and_skeletons/results_package/text/Post_METRE_Final_Project_Assessment.md,medium,supplementary/archive
results_package/text/Results_Skeleton_en.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_text_and_skeletons/results_package/text/Results_Skeleton_en.md,medium,archive
results_package/text/Results_Skeleton_zh.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_text_and_skeletons/results_package/text/Results_Skeleton_zh.md,medium,archive
results_package/text/Results_Skeleton_zh_Post_METRE.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/legacy_text_and_skeletons/results_package/text/Results_Skeleton_zh_Post_METRE.md,medium,supplementary/archive
results_package/update_post_metre_result_package.py,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_scripts/results_package/update_post_metre_result_package.py,medium,archive
step9_results_packaging/py/run_step9_results_packaging.py,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_scripts/step9_results_packaging/py/run_step9_results_packaging.py,medium,archive
SYNC_COPIED_MANIFEST.csv,keep,Still useful in final manuscript-facing entry path.,SYNC_COPIED_MANIFEST.csv,low,yes
SYNC_EXCLUDED_MANIFEST.csv,keep,Still useful in final manuscript-facing entry path.,SYNC_EXCLUDED_MANIFEST.csv,low,yes
transport_model/run_transport_model_revision.py,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_transport_pre_metre/transport_model/run_transport_model_revision.py,medium,archive
transport_model/Transport_Feature_Set.csv,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_transport_pre_metre/transport_model/Transport_Feature_Set.csv,medium,archive
transport_model/Transport_Model_Comparison.csv,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_transport_pre_metre/transport_model/Transport_Model_Comparison.csv,medium,archive
transport_model/Transport_Model_Report.md,move_to_archive,Legacy or transitional artifact moved out of the main reading path.,archive/legacy_transport_pre_metre/transport_model/Transport_Model_Report.md,medium,archive
final_freeze/Final_Model_Role_Audit_Parsimonious.md,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,final_freeze/Final_Model_Role_Audit_Parsimonious.md,low,yes
final_freeze/Final_Model_Role_Assignment_Parsimonious.csv,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,final_freeze/Final_Model_Role_Assignment_Parsimonious.csv,low,yes
final_freeze/FINAL_PI_SUMMARY_PARSIMONIOUS.md,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,final_freeze/FINAL_PI_SUMMARY_PARSIMONIOUS.md,low,yes
final_freeze/Final_Parsimonious_Integration_Audit.json,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,final_freeze/Final_Parsimonious_Integration_Audit.json,low,yes
results_package/tables/Table2_Main_Model_Comparators_Final_Parsimonious.csv,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,results_package/tables/Table2_Main_Model_Comparators_Final_Parsimonious.csv,low,yes
results_package/tables/Table_Parsimonious_Feature_Set_Comparison.csv,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,results_package/tables/Table_Parsimonious_Feature_Set_Comparison.csv,low,yes
results_package/text/Results_Skeleton_zh_Final_Parsimonious.md,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,results_package/text/Results_Skeleton_zh_Final_Parsimonious.md,low,yes
results_package/text/Discussion_Outline_zh_Final_Parsimonious.md,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,results_package/text/Discussion_Outline_zh_Final_Parsimonious.md,low,yes
results_package/text/Honest_Reporting_Checklist_Final_Parsimonious.md,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,results_package/text/Honest_Reporting_Checklist_Final_Parsimonious.md,low,yes
parsimonious_features/F15_minimal_bedside_set.csv,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/F15_minimal_bedside_set.csv,low,yes
parsimonious_features/F25_clinical_core_set.csv,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/F25_clinical_core_set.csv,low,yes
parsimonious_features/F40_balanced_transport_set.csv,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/F40_balanced_transport_set.csv,low,yes
parsimonious_features/Feature_Retention_Rationale.csv,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/Feature_Retention_Rationale.csv,low,yes
parsimonious_features/Feature_Retention_Report.md,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/Feature_Retention_Report.md,low,yes
parsimonious_features/Parsimonious_Model_Comparison.csv,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/Parsimonious_Model_Comparison.csv,low,yes
parsimonious_features/Parsimonious_Model_Report.md,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/Parsimonious_Model_Report.md,low,yes
parsimonious_features/Noninferiority_Assessment.csv,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/Noninferiority_Assessment.csv,low,yes
parsimonious_features/Final_Parsimonious_Model_Recommendation.md,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/Final_Parsimonious_Model_Recommendation.md,low,yes
parsimonious_features/Manuscript_Update_Notes.md,replace,Final parsimonious artifact copied from local verified output into GitHub share repo.,parsimonious_features/Manuscript_Update_Notes.md,low,yes
results_final/tables/Table1_Cohort_Characteristics.csv,keep,Final P15 result copied into results_final main reading path.,results_final/tables/Table1_Cohort_Characteristics.csv,low,yes
results_final/tables/Table2_Main_Model_Comparators_Final_Parsimonious.csv,keep,Final P15 result copied into results_final main reading path.,results_final/tables/Table2_Main_Model_Comparators_Final_Parsimonious.csv,low,yes
results_final/tables/Table_Parsimonious_Feature_Set_Comparison.csv,keep,Final P15 result copied into results_final main reading path.,results_final/tables/Table_Parsimonious_Feature_Set_Comparison.csv,low,yes
results_final/text/Results_Skeleton_zh_Final_Parsimonious.md,keep,Final P15 result copied into results_final main reading path.,results_final/text/Results_Skeleton_zh_Final_Parsimonious.md,low,yes
results_final/text/Discussion_Outline_zh_Final_Parsimonious.md,keep,Final P15 result copied into results_final main reading path.,results_final/text/Discussion_Outline_zh_Final_Parsimonious.md,low,yes
results_final/text/Honest_Reporting_Checklist_Final_Parsimonious.md,keep,Final P15 result copied into results_final main reading path.,results_final/text/Honest_Reporting_Checklist_Final_Parsimonious.md,low,yes
FINAL_PROJECT_SUMMARY.md,keep,Final repository organisation document for P15 manuscript-facing package.,FINAL_PROJECT_SUMMARY.md,low,yes
FINAL_FILE_INDEX.md,keep,Final repository organisation document for P15 manuscript-facing package.,FINAL_FILE_INDEX.md,low,yes
archive/README_archive.md,keep,Final repository organisation document for P15 manuscript-facing package.,archive/README_archive.md,low,yes
cleanup/cleanup_final_report.md,keep,Final repository organisation document for P15 manuscript-facing package.,cleanup/cleanup_final_report.md,low,yes
