clinical_concept,mimic_source_table,mimic_raw_variable,eicu_source_table,eicu_raw_variable,unit_mimic,unit_eicu,canonical_unit,conversion_rule,hourly_aggregation_rule,forward_fill_rule,missingness_mimic,missingness_eicu,transportability_grade,recommended_use,notes,feature_set_role
ventilation status hours since last status update,mimiciv_icu.chartevents / respiratory charting,ventilation_status_hours_since_last_status_update,eicu.vitalPeriodic / respiratoryCharting,ventilation_status_hours_since_last_status_update,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.005960063113400341,0.9309292657013745,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,accel_vis_6h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.06436859741547173,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,current_vis,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,lactate_slope_6h_x_vis_slope_6h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.5521625254906798,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,map_deficit_x_vis,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.08214637621597043,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,max_vis_24h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,mean_vis_1h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,mean_vis_3h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,mean_vis_6h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,slope_vis_3h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.009214613229703067,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,slope_vis_6h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.009214613229703067,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,urine_output_decline_x_vis,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.47677109312042737,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,vis_burden_hours_24h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,vis_escalation_count_24h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.,rich_internal_default
antibiotic exposure flag,mimiciv_hosp.prescriptions / Step2 antibiotics flag,antibiotics_active_hours_since_last_status_update,eicu medication / infusionDrug adapted flag,antibiotics_active_hours_since_last_status_update,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.026970692636575883,0.10723474519121479,moderate,supplementary,Available but not selected for compact METRE transport model.,available_for_context
bilirubin slope 24h,mimiciv_hosp.labevents,bilirubin_slope_24h,eicu.lab,bilirubin_slope_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.5197229376066204,0.43243826787665846,moderate,supplementary,Potentially useful but not default transport feature.,available_for_context
bilirubin total latest value,mimiciv_hosp.labevents,bilirubin_total_latest_value,eicu.lab,bilirubin_total_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.6291845135396875,0.5460533386851469,moderate,supplementary,Potentially useful but not default transport feature.,available_for_context
culture evidence flag,mimiciv_hosp.microbiologyevents,culture_flag_is_observed_or_recorded,eicu microLab / diagnosis-supported adapted evidence,culture_flag_is_observed_or_recorded,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,supplementary,Available but not selected for compact METRE transport model.,available_for_context
early static phenotype label,step4 Phenotype_Assignment_main,phenotype_label,step4 Phenotype_Assignment_eicu,mapped phenotype_label,category,category,category,MIMIC discovery label; eICU assigned by mapping model,stay-level label joined to t_pred rows,constant within stay,0.0,0.0,moderate,supplementary,"Use only as sensitivity/stratification, not default performance driver.",available_for_context
hr sd 24h,mimiciv_icu.chartevents,hr_sd_24h,eicu.vitalPeriodic / nurseCharting,hr_sd_24h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.003541880554202417,0.0008512807733243798,moderate,supplementary,Available but not selected for compact METRE transport model.,available_for_context
ventilation status is observed or recorded,mimiciv_icu.chartevents / respiratory charting,ventilation_status_is_observed_or_recorded,eicu.vitalPeriodic / respiratoryCharting,ventilation_status_is_observed_or_recorded,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,supplementary,Available but not selected for compact METRE transport model.,available_for_context
antibiotic exposure flag,mimiciv_hosp.prescriptions / Step2 antibiotics flag,antibiotics_active_current,eicu medication / infusionDrug adapted flag,antibiotics_active_current,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,available_for_context
bun latest value,mimiciv_hosp.labevents,bun_latest_value,eicu.lab,bun_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.026135196977077724,0.0512033495758339,high,transport,Core shared feature with acceptable external missingness.,available_for_context
creatinine latest value,mimiciv_hosp.labevents,creatinine_latest_value,eicu.lab,creatinine_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.02571793433644566,0.05043767245569298,high,transport,Core shared feature with acceptable external missingness.,available_for_context
creatinine relative rise from 24h min,mimiciv_hosp.labevents,creatinine_relative_rise_from_24h_min,eicu.lab,creatinine_relative_rise_from_24h_min,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.02571793433644566,0.05043767245569298,high,transport,Core shared feature with acceptable external missingness.,available_for_context
culture evidence flag,mimiciv_hosp.microbiologyevents,culture_flag_current,eicu microLab / diagnosis-supported adapted evidence,culture_flag_current,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,available_for_context
dynamic prediction temporal alignment,Prediction_Grid_main_*,hours_from_anchor,Prediction_Grid_eicu_external,hours_from_anchor,hours or binary,hours or binary,hours/binary,already canonical,prediction grid value,not applicable,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,available_for_context
dynamic prediction temporal alignment,Prediction_Grid_main_*,hours_since_icu_admission,Prediction_Grid_eicu_external,hours_since_icu_admission,hours or binary,hours or binary,hours/binary,already canonical,prediction grid value,not applicable,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,available_for_context
dynamic prediction temporal alignment,Prediction_Grid_main_*,is_sepsis_on_admission,Prediction_Grid_eicu_external,is_sepsis_on_admission,hours or binary,hours or binary,hours/binary,already canonical,prediction grid value,not applicable,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,available_for_context
hr latest value,mimiciv_icu.chartevents,hr_latest_value,eicu.vitalPeriodic / nurseCharting,hr_latest_value,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.04145746929238078,0.010531151644969311,high,transport,Core shared feature with acceptable external missingness.,available_for_context
hr slope 6h,mimiciv_icu.chartevents,hr_slope_6h,eicu.vitalPeriodic / nurseCharting,hr_slope_6h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.007612617245950126,0.00329669179926514,high,transport,Core shared feature with acceptable external missingness.,available_for_context
platelet latest value,mimiciv_hosp.labevents,platelet_latest_value,eicu.lab,platelet_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.030911398644963835,0.07147619695308063,high,transport,Core shared feature with acceptable external missingness.,available_for_context
platelet relative drop 24h,mimiciv_hosp.labevents,platelet_relative_drop_24h,eicu.lab,platelet_relative_drop_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.030911398644963835,0.07147619695308063,high,transport,Core shared feature with acceptable external missingness.,available_for_context
rr latest value,mimiciv_icu.chartevents / respiratory charting,rr_latest_value,eicu.vitalPeriodic / respiratoryCharting,rr_latest_value,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.04911084242416009,0.05728786701377363,high,transport,Core shared feature with acceptable external missingness.,available_for_context
shared support-intensity proxy,Step7 model-ready physiology-derived support components,shared_support_intensity_proxy,Step7 model-ready core physiology-derived support components,shared_support_intensity_proxy,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,available_for_context
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_hemodynamic_component,Step7 model-ready core physiology-derived support components,support_hemodynamic_component,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,available_for_context
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_proxy_component_count,Step7 model-ready core physiology-derived support components,support_proxy_component_count,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,available_for_context
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_renal_component,Step7 model-ready core physiology-derived support components,support_renal_component,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,available_for_context
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_respiratory_component,Step7 model-ready core physiology-derived support components,support_respiratory_component,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,available_for_context
spo2 latest value,mimiciv_icu.chartevents / respiratory charting,spo2_latest_value,eicu.vitalPeriodic / respiratoryCharting,spo2_latest_value,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.05773750492466954,0.03093525795709735,high,transport,Core shared feature with acceptable external missingness.,available_for_context
support lactate component,mimiciv_hosp.labevents,support_lactate_component,eicu.lab,support_lactate_component,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,available_for_context
wbc latest value,mimiciv_hosp.labevents,wbc_latest_value,eicu.lab,wbc_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.03065327803471237,0.07189185024687142,high,transport,Core shared feature with acceptable external missingness.,available_for_context
creatinine hours since last real measurement,mimiciv_hosp.labevents,creatinine_hours_since_last_real_measurement,eicu.lab,creatinine_hours_since_last_real_measurement,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0021435655189679832,0.0026965150752789016,moderate,transport,Minimal recency/provenance feature retained only in MT2.,available_for_context
fio2 hours since last real measurement,mimiciv_icu.chartevents / respiratory charting,fio2_hours_since_last_real_measurement,eicu.vitalPeriodic / respiratoryCharting,fio2_hours_since_last_real_measurement,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.14777016785602692,0.13432925257548103,moderate,transport,Minimal recency/provenance feature retained only in MT2.,available_for_context
high fio2 burden 24h,mimiciv_icu.chartevents / respiratory charting,high_fio2_burden_24h,eicu.vitalPeriodic / respiratoryCharting,high_fio2_burden_24h,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS.",available_for_context
lactate gt2 burden 24h,mimiciv_hosp.labevents,lactate_gt2_burden_24h,eicu.lab,lactate_gt2_burden_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS.",available_for_context
lactate gt4 burden 24h,mimiciv_hosp.labevents,lactate_gt4_burden_24h,eicu.lab,lactate_gt4_burden_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS.",available_for_context
low spo2 burden 24h,mimiciv_icu.chartevents / respiratory charting,low_spo2_burden_24h,eicu.vitalPeriodic / respiratoryCharting,low_spo2_burden_24h,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS.",available_for_context
map below 65 burden 24h,mimiciv_icu.chartevents,map_below_65_burden_24h,eicu.vitalPeriodic / nurseCharting,map_below_65_burden_24h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS.",available_for_context
map deficit,mimiciv_icu.chartevents,map_deficit,eicu.vitalPeriodic / nurseCharting,map_deficit,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.07940993240345222,0.688134477632241,moderate,transport,"Input component for shared support proxy, not used as full VIS.",available_for_context
oliguria burden 24h,mimiciv_icu.outputevents,oliguria_burden_24h,eicu.intakeOutput,oliguria_burden_24h,mL/hour or derived burden,mL/hour or derived burden,mL/hour or derived burden,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS.",available_for_context
platelet hours since last real measurement,mimiciv_hosp.labevents,platelet_hours_since_last_real_measurement,eicu.lab,platelet_hours_since_last_real_measurement,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0022978556581784446,0.00454935859084973,moderate,transport,Minimal recency/provenance feature retained only in MT2.,available_for_context
ventilation transition count 24h,mimiciv_icu.chartevents / respiratory charting,ventilation_transition_count_24h,eicu.vitalPeriodic / respiratoryCharting,ventilation_transition_count_24h,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS.",available_for_context
