clinical_concept,mimic_source_table,mimic_raw_variable,eicu_source_table,eicu_raw_variable,unit_mimic,unit_eicu,canonical_unit,conversion_rule,hourly_aggregation_rule,forward_fill_rule,missingness_mimic,missingness_eicu,transportability_grade,recommended_use,notes
platelet is forward filled,mimiciv_hosp.labevents,platelet_is_forward_filled,eicu.lab,platelet_is_forward_filled,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
platelet is observed current hour,mimiciv_hosp.labevents,platelet_is_observed_current_hour,eicu.lab,platelet_is_observed_current_hour,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
platelet measure count last 24h,mimiciv_hosp.labevents,platelet_measure_count_last_24h,eicu.lab,platelet_measure_count_last_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
urine output is forward filled,mimiciv_icu.outputevents,urine_output_is_forward_filled,eicu.intakeOutput,urine_output_is_forward_filled,mL/hour or derived burden,mL/hour or derived burden,mL/hour or derived burden,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
urine output is observed current hour,mimiciv_icu.outputevents,urine_output_is_observed_current_hour,eicu.intakeOutput,urine_output_is_observed_current_hour,mL/hour or derived burden,mL/hour or derived burden,mL/hour or derived burden,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
urine output measure count last 24h,mimiciv_icu.outputevents,urine_output_measure_count_last_24h,eicu.intakeOutput,urine_output_measure_count_last_24h,mL/hour or derived burden,mL/hour or derived burden,mL/hour or derived burden,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
wbc is forward filled,mimiciv_hosp.labevents,wbc_is_forward_filled,eicu.lab,wbc_is_forward_filled,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
wbc is observed current hour,mimiciv_hosp.labevents,wbc_is_observed_current_hour,eicu.lab,wbc_is_observed_current_hour,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
wbc measure count last 24h,mimiciv_hosp.labevents,wbc_measure_count_last_24h,eicu.lab,wbc_measure_count_last_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
culture evidence flag,mimiciv_hosp.microbiologyevents,culture_flag_hours_since_last_status_update,eicu microLab / diagnosis-supported adapted evidence,culture_flag_hours_since_last_status_update,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.03474245191290661,1.0,low,rich_internal,External missingness or semantic instability is high.
fio2 latest value,mimiciv_icu.chartevents / respiratory charting,fio2_latest_value,eicu.vitalPeriodic / respiratoryCharting,fio2_latest_value,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.834381665285495,0.6957379843383361,low,rich_internal,External missingness or semantic instability is high.
lactate latest value,mimiciv_hosp.labevents,lactate_latest_value,eicu.lab,lactate_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.6196049396133625,0.8294118933911127,low,rich_internal,External missingness or semantic instability is high.
lactate slope 6h,mimiciv_hosp.labevents,lactate_slope_6h,eicu.lab,lactate_slope_6h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.5872379736173565,0.8074165102814743,low,rich_internal,External missingness or semantic instability is high.
map latest value,mimiciv_icu.chartevents,map_latest_value,eicu.vitalPeriodic / nurseCharting,map_latest_value,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.07940993240345222,0.688134477632241,low,rich_internal,External missingness or semantic instability is high.
map slope 6h,mimiciv_icu.chartevents,map_slope_6h,eicu.vitalPeriodic / nurseCharting,map_slope_6h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.01817712507981361,0.6730121167215323,low,rich_internal,External missingness or semantic instability is high.
pao2 fio2 ratio,mimiciv_icu.chartevents / respiratory charting,pao2_fio2_ratio,eicu.vitalPeriodic / respiratoryCharting,pao2_fio2_ratio,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.8850664612052486,0.83231766184084,low,rich_internal,External missingness or semantic instability is high.
sbp latest value,mimiciv_icu.chartevents,sbp_latest_value,eicu.vitalPeriodic / nurseCharting,sbp_latest_value,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.1118477360105422,0.7217129861693031,low,rich_internal,External missingness or semantic instability is high.
shock index,mimiciv_icu.chartevents,shock_index,eicu.vitalPeriodic / nurseCharting,shock_index,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.11509268082513202,0.7217462764788745,low,rich_internal,External missingness or semantic instability is high.
shock index slope 6h,mimiciv_icu.chartevents,shock_index_slope_6h,eicu.vitalPeriodic / nurseCharting,shock_index_slope_6h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.05084684908483629,0.7112522197502846,low,rich_internal,External missingness or semantic instability is high.
spo2 fio2 ratio,mimiciv_icu.chartevents / respiratory charting,spo2_fio2_ratio,eicu.vitalPeriodic / respiratoryCharting,spo2_fio2_ratio,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.8369580194968395,0.6982984847202235,low,rich_internal,External missingness or semantic instability is high.
temperature latest value,mimiciv_icu.chartevents,temperature_latest_value,eicu.vitalPeriodic / nurseCharting,temperature_latest_value,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.7202952666890501,0.6773607823032519,low,rich_internal,External missingness or semantic instability is high.
urine output latest value,mimiciv_icu.outputevents,urine_output_latest_value,eicu.intakeOutput,urine_output_latest_value,mL/hour or derived burden,mL/hour or derived burden,mL/hour or derived burden,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.48970234618049424,0.7533473406273987,low,rich_internal,External missingness or semantic instability is high.
ventilation status current,mimiciv_icu.chartevents / respiratory charting,ventilation_status_current,eicu.vitalPeriodic / respiratoryCharting,ventilation_status_current,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.061259977914191396,0.9348185250110096,low,rich_internal,External missingness or semantic instability is high.
ventilation status hours since last status update,mimiciv_icu.chartevents / respiratory charting,ventilation_status_hours_since_last_status_update,eicu.vitalPeriodic / respiratoryCharting,ventilation_status_hours_since_last_status_update,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.005960063113400341,0.9309292657013745,low,rich_internal,External missingness or semantic instability is high.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,accel_vis_6h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.06436859741547173,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,current_vis,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,lactate_slope_6h_x_vis_slope_6h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.5521625254906798,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,map_deficit_x_vis,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.08214637621597043,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,max_vis_24h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,mean_vis_1h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,mean_vis_3h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,mean_vis_6h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,slope_vis_3h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.009214613229703067,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,slope_vis_6h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.009214613229703067,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,urine_output_decline_x_vis,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.47677109312042737,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,vis_burden_hours_24h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
MIMIC full vasoactive-inotropic support intensity,mimiciv_icu.inputevents / Step3 VIS_Derivation_Table,vis_escalation_count_24h,not transport-equivalent,unavailable or reduced proxy only,VIS score or derived VIS unit,not available,VIS score,MIMIC full VIS formula only; not converted to eICU proxy,hourly current/window VIS derivative,not forward-filled across databases,0.0,1.0,unusable,rich_internal,Full VIS is not transport-equivalent to eICU reduced support proxy.
antibiotic exposure flag,mimiciv_hosp.prescriptions / Step2 antibiotics flag,antibiotics_active_hours_since_last_status_update,eicu medication / infusionDrug adapted flag,antibiotics_active_hours_since_last_status_update,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.026970692636575883,0.10723474519121479,moderate,supplementary,Available but not selected for compact METRE transport model.
bilirubin slope 24h,mimiciv_hosp.labevents,bilirubin_slope_24h,eicu.lab,bilirubin_slope_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.5197229376066204,0.43243826787665846,moderate,supplementary,Potentially useful but not default transport feature.
bilirubin total latest value,mimiciv_hosp.labevents,bilirubin_total_latest_value,eicu.lab,bilirubin_total_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.6291845135396875,0.5460533386851469,moderate,supplementary,Potentially useful but not default transport feature.
culture evidence flag,mimiciv_hosp.microbiologyevents,culture_flag_is_observed_or_recorded,eicu microLab / diagnosis-supported adapted evidence,culture_flag_is_observed_or_recorded,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,supplementary,Available but not selected for compact METRE transport model.
early static phenotype label,step4 Phenotype_Assignment_main,phenotype_label,step4 Phenotype_Assignment_eicu,mapped phenotype_label,category,category,category,MIMIC discovery label; eICU assigned by mapping model,stay-level label joined to t_pred rows,constant within stay,0.0,0.0,moderate,supplementary,"Use only as sensitivity/stratification, not default performance driver."
hr sd 24h,mimiciv_icu.chartevents,hr_sd_24h,eicu.vitalPeriodic / nurseCharting,hr_sd_24h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.003541880554202417,0.0008512807733243798,moderate,supplementary,Available but not selected for compact METRE transport model.
ventilation status is observed or recorded,mimiciv_icu.chartevents / respiratory charting,ventilation_status_is_observed_or_recorded,eicu.vitalPeriodic / respiratoryCharting,ventilation_status_is_observed_or_recorded,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,supplementary,Available but not selected for compact METRE transport model.
antibiotic exposure flag,mimiciv_hosp.prescriptions / Step2 antibiotics flag,antibiotics_active_current,eicu medication / infusionDrug adapted flag,antibiotics_active_current,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.
bun latest value,mimiciv_hosp.labevents,bun_latest_value,eicu.lab,bun_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.026135196977077724,0.0512033495758339,high,transport,Core shared feature with acceptable external missingness.
creatinine latest value,mimiciv_hosp.labevents,creatinine_latest_value,eicu.lab,creatinine_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.02571793433644566,0.05043767245569298,high,transport,Core shared feature with acceptable external missingness.
creatinine relative rise from 24h min,mimiciv_hosp.labevents,creatinine_relative_rise_from_24h_min,eicu.lab,creatinine_relative_rise_from_24h_min,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.02571793433644566,0.05043767245569298,high,transport,Core shared feature with acceptable external missingness.
culture evidence flag,mimiciv_hosp.microbiologyevents,culture_flag_current,eicu microLab / diagnosis-supported adapted evidence,culture_flag_current,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.
dynamic prediction temporal alignment,Prediction_Grid_main_*,hours_from_anchor,Prediction_Grid_eicu_external,hours_from_anchor,hours or binary,hours or binary,hours/binary,already canonical,prediction grid value,not applicable,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.
dynamic prediction temporal alignment,Prediction_Grid_main_*,hours_since_icu_admission,Prediction_Grid_eicu_external,hours_since_icu_admission,hours or binary,hours or binary,hours/binary,already canonical,prediction grid value,not applicable,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.
dynamic prediction temporal alignment,Prediction_Grid_main_*,is_sepsis_on_admission,Prediction_Grid_eicu_external,is_sepsis_on_admission,hours or binary,hours or binary,hours/binary,already canonical,prediction grid value,not applicable,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.
hr latest value,mimiciv_icu.chartevents,hr_latest_value,eicu.vitalPeriodic / nurseCharting,hr_latest_value,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.04145746929238078,0.010531151644969311,high,transport,Core shared feature with acceptable external missingness.
